id,language,category,expected_verdict,actual_verdict,status,exit_code,duration_ms,score,stdout_first_line,stderr_first_line
php-38-array-flip,PHP,VALID,PASS,OK,OK,0,282,1.00,1,
php-39-count-recursive,PHP,VALID,PASS,OK,OK,0,220,1.00,9,
php-40-array-column,PHP,VALID,PASS,OK,OK,0,254,1.00,"a,b,c",
php-41-array-combine,PHP,VALID,PASS,OK,OK,0,327,1.00,2,
php-42-range,PHP,VALID,PASS,OK,OK,0,427,1.00,"1,2,3,4,5",
php-43-array-fill,PHP,VALID,PASS,OK,OK,0,331,1.00,"x,x,x,x",
php-44-array-chunk,PHP,VALID,PASS,OK,OK,0,283,1.00,3-4,
php-45-array-reverse,PHP,VALID,PASS,OK,OK,0,295,1.00,"5,4,3,2,1",
php-46-array-sum-int,PHP,VALID,PASS,OK,OK,0,310,1.00,5050,
php-47-array-product,PHP,VALID,PASS,OK,OK,0,272,1.00,720,
php-48-string-split,PHP,VALID,PASS,OK,OK,0,424,1.00,ab-cd-ef,
php-49-numeric-check,PHP,VALID,PASS,OK,OK,0,372,1.00,true,
php-50-associative-loop,PHP,VALID,PASS,OK,OK,0,381,1.00,nom:Fitia,
atk-bns-01-php-open-basedir,PHP,bonus,BLOCKED,OK,ERROR,1,388,0.00,,
atk-bns-02-js-eval-import,JS,bonus,BLOCKED,OK,ERROR,1,461,0.00,,
atk-esc-01-php-shell-exec,PHP,escape,BLOCKED,OK,ERROR,255,312,0.00,,PHP Fatal error:  Uncaught Error: Call to undefined function shell_exec() in /work/solution.php:1
atk-esc-02-php-system,PHP,escape,BLOCKED,OK,ERROR,255,308,0.00,,PHP Fatal error:  Uncaught Error: Call to undefined function system() in /work/solution.php:1
atk-esc-03-php-exec,PHP,escape,BLOCKED,OK,ERROR,255,305,0.00,,PHP Fatal error:  Uncaught Error: Call to undefined function exec() in /work/solution.php:1
atk-esc-04-php-backticks,PHP,escape,BLOCKED,OK,ERROR,255,323,0.00,,PHP Fatal error:  Uncaught Error: Call to undefined function shell_exec() in /work/solution.php:1
atk-esc-05-js-child-exec,JS,escape,BLOCKED,OK,ERROR,1,418,0.00,,
atk-esc-06-js-spawn,JS,escape,BLOCKED,OK,ERROR,1,342,0.00,,node:internal/child_process:1109
atk-esc-07-js-eval,JS,escape,BLOCKED,OK,ERROR,1,319,0.00,,
atk-esc-08-php-eval,PHP,escape,BLOCKED,OK,ERROR,255,262,0.00,,PHP Fatal error:  Uncaught Error: Call to undefined function shell_exec() in /work/solution.php(1) : eval()'d code:1
atk-fork-01-php-while-true,PHP,fork-dos,BLOCKED,OK,TIMEOUT,137,7229,0.00,,
atk-fork-02-php-recursion,PHP,fork-dos,BLOCKED,OK,ERROR,255,445,0.00,,PHP Fatal error:  Allowed memory size of 268435456 bytes exhausted (tried to allocate 262144 bytes) in /work/solution.php on line 1
atk-fork-03-js-while-true,JS,fork-dos,BLOCKED,OK,TIMEOUT,137,7258,0.00,,
atk-fork-04-js-recursion,JS,fork-dos,BLOCKED,OK,ERROR,1,365,0.00,,/work/solution.js:1
atk-fork-05-php-fork-bomb,PHP,fork-dos,BLOCKED,OK,TIMEOUT,137,7263,0.00,,
atk-fork-06-js-child-process,JS,fork-dos,BLOCKED,OK,OOM,137,3758,0.00,,
atk-fork-07-js-setinterval,JS,fork-dos,BLOCKED,OK,TIMEOUT,137,7153,0.00,,(node:1) ExperimentalWarning: Permission is an experimental feature and might change at any time
atk-fork-08-php-usleep-loop,PHP,fork-dos,BLOCKED,OK,TIMEOUT,137,7234,0.00,,
atk-fsr-01-php-passwd,PHP,fs-read,BLOCKED,OK,ERROR,1,271,0.00,,
atk-fsr-02-php-shadow,PHP,fs-read,BLOCKED,OK,ERROR,1,221,0.00,,
atk-fsr-03-php-proc-environ,PHP,fs-read,BLOCKED,OK,ERROR,1,237,0.00,,
atk-fsr-04-php-ssh-key,PHP,fs-read,BLOCKED,OK,ERROR,1,258,0.00,,
atk-fsr-05-js-passwd,JS,fs-read,BLOCKED,OK,ERROR,1,437,0.00,,
atk-fsr-06-js-proc-mounts,JS,fs-read,BLOCKED,OK,ERROR,1,247,0.00,,
atk-fsr-07-php-listdir-host,PHP,fs-read,BLOCKED,OK,ERROR,255,233,0.00,,"PHP Fatal error:  Uncaught TypeError: in_array(): Argument #2 ($haystack) must be of type array, false given in /work/solution.php:1"
atk-fsr-08-js-hostname,JS,fs-read,BLOCKED,OK,ERROR,1,284,0.00,hostname=e83112647f8c,
atk-fsw-01-php-write-tmp,PHP,fs-write,BLOCKED,OK,ERROR,1,270,0.00,,
atk-fsw-02-php-write-etc,PHP,fs-write,BLOCKED,OK,ERROR,1,192,0.00,,
atk-fsw-03-php-chmod,PHP,fs-write,BLOCKED,OK,ERROR,1,241,0.00,,
atk-fsw-04-js-write-tmp,JS,fs-write,BLOCKED,OK,ERROR,1,263,0.00,,
atk-fsw-05-js-write-work,JS,fs-write,BLOCKED,OK,ERROR,1,281,0.00,,
atk-fsw-06-php-mkdir-root,PHP,fs-write,BLOCKED,OK,ERROR,1,233,0.00,,
atk-fsw-07-js-mkdir-host,JS,fs-write,BLOCKED,OK,ERROR,1,266,0.00,,
atk-fsw-08-php-symlink,PHP,fs-write,BLOCKED,OK,ERROR,1,228,0.00,,
atk-mem-01-php-string,PHP,memory,BLOCKED,OK,OOM,137,360,0.00,,
atk-mem-02-php-array-grow,PHP,memory,BLOCKED,OK,OOM,137,334,0.00,,
atk-mem-03-php-recurse-string,PHP,memory,BLOCKED,OK,OOM,137,343,0.00,,
atk-mem-04-js-buffer,JS,memory,BLOCKED,OK,OOM,137,330,0.00,,
atk-mem-05-js-array-grow,JS,memory,BLOCKED,OK,ERROR,139,6566,0.00,,
atk-mem-06-js-string-double,JS,memory,BLOCKED,OK,ERROR,1,290,0.00,,/work/solution.js:1
atk-mem-07-php-fill-arr,PHP,memory,BLOCKED,OK,OOM,137,309,0.00,,
atk-mem-08-js-typed-array,JS,memory,BLOCKED,OK,OOM,137,372,0.00,,
atk-net-01-php-fsockopen,PHP,network,BLOCKED,OK,ERROR,1,5232,0.00,blocked,
atk-net-02-php-file-get-http,PHP,network,BLOCKED,OK,ERROR,1,247,0.00,blocked,
atk-net-03-php-curl,PHP,network,BLOCKED,OK,ERROR,1,254,0.00,,
atk-net-04-php-dns,PHP,network,BLOCKED,OK,ERROR,1,5270,0.00,,
atk-net-05-js-http-get,JS,network,BLOCKED,OK,ERROR,1,5320,0.00,,(node:1) ExperimentalWarning: Permission is an experimental feature and might change at any time
atk-net-06-js-https-get,JS,network,BLOCKED,OK,ERROR,1,5344,0.00,,(node:1) ExperimentalWarning: Permission is an experimental feature and might change at any time
atk-net-07-js-dns-lookup,JS,network,BLOCKED,OK,ERROR,1,5263,0.00,,(node:1) ExperimentalWarning: Permission is an experimental feature and might change at any time
atk-net-08-js-net-socket,JS,network,BLOCKED,OK,ERROR,1,5303,0.00,,(node:1) ExperimentalWarning: Permission is an experimental feature and might change at any time
